"","created_at","screen_name","text","content","sentiment"
"11",2020-11-06,"MFAofArmenia","# Azerbaijan shelled the archaeological camp near the # Tigranakert historical-cultural reserve. 
 Azerbaijan deliberately targets monuments of cultural heritage.  Before  A Z E twice struck the  Holy  Savior  Ghazanchetsots  Cathedral in # Shushi.
# Stop Azerbaijani Aggression
# Dont Be Blind ","aze",-1
"12",2020-11-06,"MFAofArmenia","# Azerbaijan bombarded # Stepanakert with cluster munitions, deliberately targeting residential buildings, civil and public infrastructure across the city.  Three civilians were killed.
# Artsakh # Artsakh Strong ","aze",-1
"13",2020-11-06,"MFAofArmenia","  We have continuously raised the issue of foreign terrorist fighters and jihadist groups, which were recruited by  Turkey and transferred to  Azerbaijan as early as in  August, to be used in the planned aggression against the  Republic of  Artsakh and its people. ","aze",0
"14",2020-11-05,"MFAofArmenia"," F M of # Armenia   One of the most important issues is introduction of #verification mechanisms, that will enable us to maintain #ceasefire more effectively.  We are working in this regard ; involvement, determination ; work of   Co- Chairs remain very important. ","arm",3
"15",2020-11-05,"MFAofArmenia"," F M   We will not stop working w/ # Minsk  Group  Co- Chairs to establish #ceasefire, based on 4 points expressed in joint statement of  October 10 ; reiterated in other meetings as well.  We will continue to work consistently in this regard. ",NA,NA
"16",2020-11-05,"MFAofArmenia"," F M  in briefing at    M G C C leaders contributed to achieving #ceasefire thrice. # Armenia ensured its approval thrice.  However, # Azerbaijan was unable to be responsible for its agreements ; has violated them, probably being directed by # Turkey. ","arm",0
"17",2020-11-05,"MFAofArmenia"," According to new decision of  entering # Armenia,  P C R negative test of # C O V I D19 taken w/in previous 72 hrs should be submitted.  If corresponding symptoms are detected as result of examination upon arrival person will be hospitalized.

 More info","arm",0
"18",2020-11-05,"MFAofArmenia","80 local ; foreign journalists trapped in  Stepanakert, in  Nagorno- Karabakh!  They cannot reach # Armenia without risking their lives under fire from  Azeri forces.  R S F calls on the   and # Azerbaijan to do everything possible to allow the evacuation of civilians. ","arm",-2
"19",2020-11-05,"MFAofArmenia"," Letter of the  Permanent  Representative of # Armenia  Mher  Margaryan addressed to  U N  Secretary- General  Antonio  Guterres regarding ongoing aggression by # Azerbaijan against the people of # Artsakh (# Nagorno Karabakh), to be issued as official document of # U N G A75 and # Security Council ","arm",1
"20",2020-11-05,"MFAofArmenia"," The leadership of  Azerbaijan, who has been on record for taking pride in high-precision capabilities of their modern weaponry, is directly responsible for the violations of # I H L in # Nagorno Karabakh ; deliberate attacks on civilian objects. # Armenia at # U N G A75  Sixth  Committee ","aze",0
"21",2020-11-04,"MFAofArmenia",". is in crisis.  Its future depends on unity of each  State, ; that is the aim of # Co E.  We all have our share of responsibility to this ; and we must act soon.  Opposite is crisis, moral crisis ; crisis of values for  Council of # Europe. # E C H R70 ",NA,NA
"22",2020-11-04,"MFAofArmenia",". urges to take bold steps ; be worthy of legacy of #peace ; prosperity.  Inability to express position on this war or acknowledge sanitary needs of ppl living in conflict zone testifies to its crisis.  Committee must take actions, or is doomed to be obsolete. # E C H R70 ",NA,NA
"23",2020-11-04,"MFAofArmenia"," F M  measures must be taken to impose # Turkey to refrain from actions contributing to breaches of # Convention Rights of # Artsakh civilians indicated by  destabilizing role in its neighborhood ; # South Caucasus must be addressed."" # E C H R70 ","aze",0
"24",2020-11-04,"MFAofArmenia"," F M  at  Committee of  Ministers of  ""# Azerbaijan undertook a commitment to resolve the # Nagorno Karabakh conflict by peaceful means while acceding to # Co E.  A Z is now in breach of this commitment.  The organization must address this violation.""  # E C H R70 ","aze",-2
"25",2020-11-04,"MFAofArmenia",". at meeting w/delegation of # European  Youth for the  Recognition of # Artsakhs  Independence program initiated by   F M  Mnatsakanyan emphasized:  This is a war for #freedom.  We must compensate the blood of our compatriots with freedom. ","arm",2
"26",2020-11-04,"MFAofArmenia",".  In the  Togh village of # Hadrut region of # Artsakh/# Nagorno Karabakh, the # Azerbaijan'i armed forces beheaded a civilian, who has already been identified.  A #terrorist act by a country which has already turned itself into hub of intl #terrorism in # South Caucasus","arm",-1
"27",2020-11-03,"MFAofArmenia"," We emphasize that amid the existential threats the people of # Artsakh are facing, the authorities and the  Defense  Army of # Artsakh have the inalienable right to defend their own people and to counterattack the enemy. ","arm",0
"28",2020-11-03,"MFAofArmenia"," This is another manifestation of state #terrorism carried out by a country which through the efforts of # Turkey has already turned itself into a hub of concentration of international #terrorist fighters in the # South Caucasus.","aze",-1
"29",2020-11-03,"MFAofArmenia"," Continuous targeting of # Stepanakerts medical facilities by  Azerbaijani armed forces once again demonstrates goal of # Azerbaijans military-political leadership to inflict maximum damage on civilian population of # Artsakh, especially women ; children far away from the frontline. ","aze",-1
"30",2020-11-03,"MFAofArmenia"," Azeri forces fired a missile in direction of  Stepanakerts mother and child health care center, three more missiles in direction of  Shushi: there are houses on fire.","aze",0
"31",2020-11-03,"MFAofArmenia"," Our prayers are with the people of  Austria. # Nagorno Karabakh has been fighting against the  Azerbaijani- Turkish terrorist tandem for over a month now.  I share the grief of the people of  Austria, wish patience to the families of the victims, and a speedy recovery to those wounded.","aze",-2
"32",2020-11-03,"MFAofArmenia"," Barbarity and #terrorism smearing around.  Now in # Vienna.  Very angry about this heinous attack.  In full solidarity with # Austrian friends.  Armenians in # Nagorno Karabakh are fighting those terrorists sponsored by # Turkey and their client # Azerbaijan

","arm",-4
"33",2020-11-02,"MFAofArmenia"," It is not accidental that such threats are voiced out against the people of # Armenia when the # Turkish-# Azerbaijani genocidal alliance w/involvement of intl #terrorist fighters tries to annihilate the  Armenians in # Artsakh.
","arm",-1
"34",2020-11-02,"MFAofArmenia"," Spox   We strongly condemn act of #vandalism agnst building of # Consulate  General of # Armenia in # Lyon, which was preceded by incidents of #desecration of  Armenian monuments in other cities of # France ; massive anti- Armenian actions by # Turkish extremist organizations. ","arm",-1
"35",2020-11-02,"MFAofArmenia"," For the third day forest of # Nngi community is being constantly arsoned w/white #phosphorus munitions by # Azerbaijan'i side, which keeps  Nngi ; surrounding areas under constant fire. 

   Head of the  Nngi community of the # Martuni region
","aze",0
"36",2020-11-02,"MFAofArmenia"," Today, at around 6:10 pm, the  Azerbaijani side opened artillery fire in the direction of the positions of the  Armed  Forces  of  Armenia and the settlement of  Davit  Bek, as a result of which one civilian was killed and two others were wounded.","aze",-2
"37",2020-11-01,"MFAofArmenia"," On use by # Azerbaijan of phosphorus munitions:  Azerbaijan resorts to terror tactics agnst # Artsakh civ population.  Recognition # Artsakh is #mature measure of int community to fulfil its obligations to prevent crimes against humanity. # Recognize Artsakh ","aze",-2
"38",2020-11-01,"MFAofArmenia"," Transfer of #jihadists to # Nagorno Karabakh conflict zone reveals intentions of # Turkish-# Azerbaijani leadership to give conflict inter-religious character. # Armenia will continue to undertake consistent steps in fight against intl terrorism, cooperating w/all interested partners.","aze",-3
"39",2020-11-01,"MFAofArmenia"," This is a completely new manifestation of expansion of #terrorism, when foreign terrorist fighters ; jihadists from # Middle East have been deployed to conflict zone in # O S C E area; is a serious threat to the international ; regional security ; stability.",NA,NA
"40",2020-11-01,"MFAofArmenia"," The above-mentioned fact is not merely confirmed by intelligence services of  # Minsk  Group  Co- Chair countries, a number of our partners ; international community, but also by the direct testimonies of the #terrorists.
",NA,NA
"41",2020-11-01,"MFAofArmenia","# Armenian side has repeatedly voiced out about recruitment of foreign terrorist fighters ; jihadists by # Turkey from various ""hot spots"" in # Middle East,; their subsequent transfer ; deployment to region w/purpose of committing atrocities against # Artsakh people. ","arm",1
"42",2020-11-01,"MFAofArmenia","# Armenia can always recognize the independence of # Artsakh.  Its important that other members of intl community recognized it.  Today this issue is more urgent considering the humanitarian catastrophe in which # Nagorno Karabakh finds itself now.  ","arm",-1
"43",2020-11-01,"MFAofArmenia"," As a result of deliberate shelling of the civilian infrastructure of # Artsakh/# Nagorno Karabakh by armed forces of # Azerbaijan,  Gohar  Agha  Upper # Mosque,  Yeznik  Mozyan  Vocational  School, # Shushi  Technological # University were targeted. ","arm",0
"44",2020-11-01,"MFAofArmenia","# Azerbaijan deliberately targeted a fire engine, transporting drinking water from the town of # Askeran to civilians in neighboring communities.  No casualties reported. 
 Once again  Aze intentionally targets people with humanitarian functions. 
# Stop Azerbaijani Agression ","aze",0
"45",2020-11-01,"MFAofArmenia"," D A units of  captured another terrorist mercenary  Yusuf  Alaabet al  Haji from # Idlib # Syria, fighting on  Azerbaijan's side against  Artsakh.  He stated that he was promised 2k$ monthly ; an additional 100$ ""reward"" for the head of each # Armenian. ","aze",1
"46",2020-11-01,"MFAofArmenia"," F M  to  overwhelming factual evidence on presence ; ongoing transfer of foreign #terrorist fighters by # Turkey from # Syria ; # Libya, confirmed by intelligence of   M G C C states ; by coverage from conflict zone itself.
","aze",-2
"47",2020-10-31,"MFAofArmenia"," As a result of # Azerbaijan'i attacks on the civilian communities: 
-residential areas of # Stepanakert were struck causing huge material damage
-59 Y O  Apres  Adamyan was killed in his house in  Herher
village of  Martuni region
-# Martuni, # Martakert ; # Shushi towns were also struck. ","aze",-4
"48",2020-10-31,"MFAofArmenia"," Despite agreement reached not to target civilians ; civilian infrastructure, since early morning # Azerbaijan resumed bombing of # Shushi ; # Stepanakert.  Azerbaijan leadership is not capable to fulfill its own commitments and # Artsakh civilian population is its main enemy ; target. ","aze",-1
"49",2020-10-31,"MFAofArmenia"," Together with    we  sent a joint invitation to the diplomatic representations and intl organizations accredited in # Armenia to visit # Artsakh/# Karabakh and record the atrocities of # Azerbaijan against  Artsakh people. ","arm",0
"50",2020-10-31,"MFAofArmenia"," P M  addressed  President of # Russia to launch immediate consultations to define type ; scale of assistance  R F can provide to # Armenia for ensuring its security, based on  Arm- Rus allied rels ;  Article 2 of  Treaty on  Friendship,  Coop ;  Mutual  Assistance of  Aug 29,1997","arm",0
"51",2020-10-31,"MFAofArmenia"," In meeting w/# Uruguay  F M  Francisco  Bustillo  Bonasso,  F M  presented hostilities carried out by # Azerbaijan'i armed forces against # Artsakh people.  Both sides stressed the need for the immediate cessation of hostilities and a peaceful settlement of the conflict. ","aze",-2
"52",2020-10-31,"MFAofArmenia"," In meeting w/# Iran  D F M  Araghchi,  F M  stressed that # Armenia understands  Irans sensitivity towards reg threats ; highlighted  Irans role in maintaining stability in reg.  D F M presented approaches of his country on overcoming situation ; establishing ceasefire regime. ","arm",-2
"53",2020-10-31,"MFAofArmenia"," In meeting w/  M G C C,  F M  stressed immediate implementation of agreements on cessation of hostilities ; establishment of sustainable ceasefire.  Emphasized role of verification mechanisms ; unacceptability of deliberate targeting of # Artsakh civilian population. ","arm",-1
"54",2020-10-31,"MFAofArmenia"," As continuation of its #warcrimes against the people of # Artsakh/# Nagorno Karabakh, # Azerbaijan'i armed forces now uses # Phosophorus munitions over the forests which are next to civilian infrastructures.  This weapons are prohibited by intl law. ","arm",-1
"55",2020-10-31,"MFAofArmenia"," Another blatant evidence of the involvement of foreign #terrorist fighters in the # Nagorno Karabakh conflict zone, recruited and transferred from the # Middle East to # Azerbaijan by # Turkey. ","aze",-2
"56",2020-10-30,"MFAofArmenia"," In meeting w/  F M  presented situation in # Nagorno Karabakh conflict zone resulting from # Azerbaijani aggression.   President emphasized diplomatic efforts aimed at implementing #ceasefire agreements ; agreement on exchange of bodies of those killed. ","aze",-2
"57",2020-10-30,"MFAofArmenia","# Breaking!
 As a result of # Azerbaijan shelling, in  Aknaghbyur village of # Artsakh/# Karabakh, 60 Y O  Sergey  Balayan was killed ; 6 other civilians have been wounded.
 Azerbaijan continues deliberately/indiscriminately targeting civilian areas ; population.
# War Crime # Dont Be Blind","aze",-5
"58",2020-10-30,"MFAofArmenia"," Meeting of  Foreign  Ministers of # Armenia and # Azerbaijan  and  commenced in # Geneva with mediation and participation of   Minsk  Group  Co- Chairs ","arm",0
"59",2020-10-30,"MFAofArmenia"," Meeting of  Foreign  Minister of # Armenia  Zohrab  Mnatsakanyan ( with the  O S C E  Minsk  Group  Co- Chairs commenced in # Geneva ","arm",0
"60",2020-10-29,"MFAofArmenia"," On  October 29 with the exceptional mediation of  Russia, ; with the participation of the field team of the  P R of the  O S C E  Ci O ; the  I C R C the bodies of 29  Armenian  K I A servicemen were handed over to the  Armenian side. 
 With the  I C R C efforts 1 civilians was repatriated to  Armenia.","arm",0
"61",2020-10-29,"MFAofArmenia"," The  Armenian side, adhering to the arrangements of the  H U M ceasefire, reiterates its readiness to hand over the bodies of  Az servicemen, start the process of recovery of bodies along the  Artshakh- Azerbaijan frontline, exchange of info on  P O Ws and respective handover in future.","arm",1
"62",2020-10-29,"MFAofArmenia"," Azerbaijani forces employed military aviation against  Martakert town.  Air raid warning went off in  Stepanakert,  Askeran,  Martuni and  Martakert.","aze",0
"63",2020-10-29,"MFAofArmenia"," In phone call w/ High  Rep   F M  provided detailed info on # Azerbaijan's violation of third agreement on cessation of hostilities, stressed that # Turkey's destabilizing actions in # South Caucasus pose threat to both regional ; intl security. ","aze",-2
"64",2020-10-29,"MFAofArmenia"," In phone call w/  F M  informed that # Azerbaijan continues shelling of civilian population of # Artsakh ; stated that w/such position  A Z is pursuing to nullify efforts of  Co- Chairs in establishing sustainable ceasefire, which is encouraged by # Turkey. ","aze",0
"65",2020-10-29,"MFAofArmenia"," In phone call w/ F M   F M  stressed that # Azerbaijan, once again demonstrating its treacherous stance, has renounced its commitments ; continues to deliberately target civilian population ; infrastructure of # Artsakh, including by using prohibited weapons ","aze",-2
"66",2020-10-29,"MFAofArmenia"," Azerbaijan's policy of crimes against humanity ; ethnic cleansing is doomed to failure ; will encounter the resolute resistance of the people of # Artsakh, which will be carried out through all the means necessary for self-defense. ","aze",-2
"67",2020-10-29,"MFAofArmenia"," Despite calls of intl community ; efforts of   M G C C, # Azerbaijan persistently rejects implementation of ceasefire agreements ; introduction of verification mechanisms to maintain #ceasefire in conflict zone.
","aze",-2
"68",2020-10-28,"MFAofArmenia"," We strongly condemn efforts of # Turkey ; # Azerbaijan-terrorist supporting countries, to turn their countries into hub of intl #terrorism ; to spread that plague throughout reg.  In order to confront this threat, close coop among all parties interested in reg security is required. ","aze",-2
"69",2020-10-28,"MFAofArmenia"," Spox  ""# Armenia stands for immediate withdrawal of intl terrorist organizations from # South Caucasus ; resolutely rejects # Turkeys actions aimed at further destabilization of region.

 Armenia ; # Artsakh, unlike our two neighbours, do not host, but fight terrorists."" ","arm",-1
"70",2020-10-28,"MFAofArmenia","# Warcrime, which is gross violation of intl humanitarian law ; customary law, clearly demonstrates that people of  Artsakh are  Azerbaijans target, including newborn babies, mothers, ; elders.  Attempts of # Azerbaijan to kill the life in # Artsakh will fail. ","arm",-2
"71",2020-10-28,"MFAofArmenia"," Armed forces of # Azerbaijan throughout day bombed ; shelled capital of  Republic of # Artsakh-# Stepanakert, ;  second largest city-# Shushi.  Residential areas of city, civilian infrastructure, including maternity hospital of  Stepanakert were attacked. ","aze",-2
"72",2020-10-28,"MFAofArmenia"," Oct 28, the # Azerbaijan'i armed forces struck more than 15 times on different parts of the capital  Stepanakert and  Shushi town, deliberately targeting even the  Maternal and  Child  Health  Center in  Stepanakert ; some residential and public objects.
# Stop Azerbaijani Aggression ","aze",-2
"73",2020-10-28,"MFAofArmenia"," Heavy strikes of # Azerbaijani military towards  Medical  Center, the  Main  Hospital of  Stepanakert, this the center of capital city of # Artsakh ( Nagorno # Karabakh). 

#terrorism # War Crime # Dont Be Blind #dontcloseyoureyes ","aze",-4
"74",2020-10-28,"MFAofArmenia","# Artsakh/# Nagorno Karabakh city of # Shushi ; capital # Stepanakert have been attacked w/forbidden cluster warhead  S M E R C H missiles by # Azerbaijan: 1 civilian killed ; 2 wounded, mass destructions caused.  To cover up its # War Crimes  A Z E falsely accuses  Armenian sides of alleged attack","arm",-5
"75",2020-10-28,"MFAofArmenia"," Motion in the  by   calling on the  Government of # Canada to condemn the joint  Azerbaijani -  Turkish aggression and recognize the independence of the  Republic of # Artsakh! ","aze",-1
"76",2020-10-28,"MFAofArmenia"," Shushi is being shelled from  Smerch  M L R S.

 Artsakh  Emergency  Situations  State  Service reports about one killed and two wounded civilians.   Also capital  Stepanakert was shelled once from  Smerch.  No wounded reported.","arm",-3
"77",2020-10-27,"MFAofArmenia"," It has been month since # Azerbaijan unleashed a large-scale war against # Artsakh people.  Throughout this period  A Z falsely accused # Armenian sides of violating ceasefire to avoid responsibility for failing to comply w/ceasefire agreements reached through mediation of   M G C C. ","aze",-2
"78",2020-10-27,"MFAofArmenia"," This is yet another cheap provocation by the  Azerbaijani side which attests to the fact that there is no alternative to the introduction of the international verification mechanisms.  Notably, # Azerbaijan persistently rejects the introduction of such mechanisms. ","aze",-2
"79",2020-10-27,"MFAofArmenia"," Azerbaijani side shelled w/ cluster munitions # Nngi village of # Martuni region in # Artsakh, where many civilians, temporarily displaced from number of other communities, took refuge.  Attack resulted in destruction 7 casualties among civilian population.
","aze",-1
"80",2020-10-26,"MFAofArmenia"," Violating the ceasefire, # Azerbaijan is striking the civilian settlements of # Artsakh.  As a result of a missile strike on the  Avetaranots village of  Askeran region a civilian,  Gevorg  Hambardzumyan, was killed; two civilians,  Henrikh  Adamyan and  Andrey  Hambardzumyan, were wounded.","aze",-4
"81",2020-10-26,"MFAofArmenia"," In this regard,  Ministry of  Defense of # Armenia emphasizes importance of immediate introduction of clear parameters for maintaining #ceasefire regime ; launching process of exchanging bodies of  P O W ; other people detained, ; those killed, mediated by  ","arm",1
"82",2020-10-26,"MFAofArmenia"," Statements of # Azerbaijan'i side claiming that # Armenia'n side allegedly violated humanitarian #ceasefire do not correspond to reality ; are obviously provocative. ","aze",0
"83",2020-10-26,"MFAofArmenia"," The  Armenian side continues to strictly  adhere to the ceasefire regime.","arm",-1
"84",2020-10-25,"MFAofArmenia","# O S C E  M G C C, # Armenia ; # Azerbaijan  F Ms discussed implementing immediate humanitarian ceasefire, possible parameters for monitoring ceasefire;initiating discussion of core substantive elements of comprehensive solution, in accordance w/ Oct10  Joint  Statement ","arm",0
"85",2020-10-25,"MFAofArmenia"," Humanitarian ceasefire will take effect at 08:00 a.m. local time on  Oct26, 2020.  # United States facilitated intensive negotiations among the  Foreign  Ministers and the  Minsk  Group  Co- Chairs to move  Armenia and  Azerbaijan closer to a peaceful resolution of # Nagorno Karabakh conflict ","arm",-1
"86",2020-10-25,"MFAofArmenia","# Armenia  F M  and # Azerbaijan  F M  met w/ D S S  Stephen  E.  Biegun on  Oct24 and reaffirmed their countries commitment to implement and abide by humanitarian ceasefire agreed in  Moscow on  Oct10, which were reaffirmed in statement issued from  Paris on  Oct17","arm",2
"87",2020-10-25,"MFAofArmenia"," At a meeting with  French  M Ps,  I expressed my full appreciation for their visit to our country and for standing beside the # Armenian people in such a difficult time for the whole country. ","arm",-1
"88",2020-10-25,"MFAofArmenia"," In meeting w/members of  Congressional  Caucus on # Armenian  Issues,  F M  stressed that # Azerbaijani aggression is threat to existential physical sec of # Artsakh population, ; makes it imperative for intl community to undertake resolute ; immediate steps against it. ","arm",-2
"89",2020-10-25,"MFAofArmenia"," During meeting w/reps of  ;   F M of # Armenia  briefed on situation in # Nagorno Karabakh conflict zone resulting from aggression instigated by # Azerbaijan against # Artsakh, w/direct support of # Turkey ; involvement of foreign terrorist fighters. ","arm",0
"90",2020-10-24,"MFAofArmenia"," It is impossible to break the spirit of # Artsakh/# Nagorno Karabakh.  Take the message from these kids.  They radiate so much confidence, so much life, so much optimism, freedom and dignity.  I am so grateful to them, love them!
# Artsakh Strong ","arm",1
"91",2020-10-24,"MFAofArmenia"," F M  met w/  M G C C.  Reiterated implementation of agreements on cessation of hostilities ; establishment of sustainable #ceasefire maintained by verification mechanisms, highlighted need for continuation of peace process w/in # O S C E # Minsk  Group  Co- Chairmanship. ",NA,NA
"92",2020-10-24,"MFAofArmenia"," F M of # Armenia  at  center of issue is physical, existential #security of our compatriots, ; we have made it very clear that we are dealing w/real existential threat to which we have exposed in past, ; we must not allow this happen again."" ","arm",0
"93",2020-10-24,"MFAofArmenia"," In meeting w/ of  House of  Reps,  F M  stressed that # Azerbaijans aggression is existential threat to sec of # Artsakh peaceful population, which can be counteracted by intl community through full realization of right of  Artsakh ppl to self-determination. ","aze",-1
"94",2020-10-24,"MFAofArmenia"," In meeting w/ National  Sec  Adviser   F M  expressed concern over # Turkey's expansionist policy in # South Caucasus, aiming to destabilize reg, using # Azerbaijan as footing.  Sides agreed that peaceful settlement of # N K conflict is possible w/in   M G C C. ","aze",-1
"95",2020-10-23,"MFAofArmenia","# Armenia  F M  joins   Director  for a conversation regarding talks held in  Washington  D. C.,  Yerevans position on # Nagorno Karabakh conflict, prospects for establishing ceasefire ; finding negotiated solution to  N K issue ","arm",0
"96",2020-10-23,"MFAofArmenia","# Armenia  F M   of  compatriots  in # Nagorno Karabakh will live in freedom, dignity ; security.  As we are talking  I have received messages that cities of # Stepanakert, # Martuni and # Hadrut have once again been targets of severe shelling by # Azerbaijan ","arm",0
"97",2020-10-23,"MFAofArmenia"," In phone conversation w/# Swiss  Federal  Councillor   F M  highly appreciated principled statement of  ; expressed conviction that # Azerbaijan should bear appropriate intl responsibility for the criminal encroachments against people of # Artsakh. ","aze",-1
"98",2020-10-23,"MFAofArmenia","# Azerbaijan continues to strike # Stepanakert, capital of # Artsakh/# Nagorno Karabakh, residential buildings ; gas pipeline have been damaged. ","aze",-1
"99",2020-10-23,"MFAofArmenia"," Sides reiterated the need for immediate implementation of agreements on cessation of hostilities in # Nagorno Karabakh conflict zone, as well as continuation of peace process w/in   Minsk  Group  Co- Chairs.

",NA,NA
"100",2020-10-23,"MFAofArmenia"," In meeting w/# U S  State   F M of # Armenia  highlighted that # Azerbaijani aggression is accompanied by direct involvement of # Turkey, manifested in its military-technical support to  Azerbaijan ; transferring of foreign terrorist fighters to region. ","arm",1
"101",2020-10-23,"MFAofArmenia"," Meeting of  Foreign  Minister of # Armenia  and # United States  Secretary of  State 
","arm",0
"102",2020-10-23,"MFAofArmenia"," In meeting w/# U S  Acting  Assistant  State  Sec  Phillip  Reeker, F M  stressed that # Azerbaijan unleashed war against # Artsakh, accompanied by deliberate targeting of civilian population ; infrastructure,which are war crimes in their nature ; aim to annihilate  Artsakh ppl. ","aze",-3
"103",2020-10-23,"MFAofArmenia"," M U S T  R E A D  report:
# Azerbaijan has repeatedly used widely banned cluster munitions in residential areas in  Nagorno-# Karabakh,
 They didnt find any military objects nearby,  Az didnt grant access to  H R W to conduct investigations there.
# Human Rights
","aze",0
"104",2020-10-23,"MFAofArmenia"," Working visit of  Foreign  Minister of # Armenia  to the  United  States of  America commenced.  Minister  Mnatsakanyan is helding a meeting with # U S  Acting  Assistant  Secretary of  European and  Eurasian  Affairs  Philip # Reeker. ","arm",1
"105",2020-10-22,"MFAofArmenia"," We call on # Azerbaijan and its supporter # Turkey not to undermine the efforts of the international community to establish a verifiable #ceasefire regime, and not to engage in their traditional policy of blame shifting. ","aze",0
"106",2020-10-22,"MFAofArmenia"," Consistently pursuing position of excluding military settlement of conflict, # Armenia once again emphasize that # Nagorno Karabakh conflict can be resolved exclusively by peaceful means, w/in the framework of # O S C E  M G C C, which holds intl mandate.
","arm",-1
"107",2020-10-22,"MFAofArmenia"," In an open letter to the # Netherlands    Parliament and political parties,
# Dutch intellectuals call for immediate action to stop # Azerbaijan aggression and # Recognize Artsakh 
","aze",0
"108",2020-10-21,"MFAofArmenia"," Rep.  called on  U. S. to officially recognize  independence of the  Republic of # Artsakh.  Freedom is the only answer left for  Artsakhs survival  history-based, law-based, survival-based remedial secession.  There can be no going back,-she noted. # Recognize Artsakh ","arm",1
"109",2020-10-21,"MFAofArmenia","  October 22:  F M  will pay working visit to  United  States of # America.  During the visit, meetings with # U S  State  ; a number of high-ranking  U S officials are scheduled. ",NA,NA
"110",2020-10-21,"MFAofArmenia"," F M of # Armenia  ;  F M of # Russia  Sergey  Lavrov discussed situation in # Nagorno Karabakh conflict zone ; implementation of agreements on cessation of hostilities.  Minister  Mnatsakanyan underlined establishment of #ceasefire maintained through verification mechanisms. ","arm",-1
"111",2020-10-20,"MFAofArmenia"," In phone call w/  F M  expressed deep concern that large-scale aggression of # Azerbaijan against # Artsakh is blatantly supported ; encouraged by # Turkey, which in turn is trying to advance its expansionist goals by destabilizing the regional security. ","aze",-1
"112",2020-10-20,"MFAofArmenia"," F M  to  are entering our civilian settlements, mutilating bodies, beheading our compatriots.  They have recruited terrorists from # Syria ; # Libya via # Turkey.  We are again facing alone three enemies-  Turkey, # Azerbaijan ; foreign terrorist fighters."" ","aze",0
"113",2020-10-19,"MFAofArmenia","# Armenia  F M  # Artsakh  F M  Masis  Mayilian,  ;  briefed diplomatic corps accredited in # Armenia humanitarian situation in  Artsakh, #warcrimes, gross violations of intl humanitarian law by # Azerbaijan in its aggression against  Artsakh. ","arm",-1
"114",2020-10-19,"MFAofArmenia"," In phone call w/# Estonia  F M   F M  considered it unacceptable that # Azerbaijan blatantly neglects ceasefire agreements reached through mediation of # Russia ; # France.  Sides stressed importance of implementing agreements on cessation of hostilities. ","aze",-3
"115",2020-10-19,"MFAofArmenia"," These are cruel ;terroristic methods.  has recorded other cases of torture ;atrocities by # Azerbaijan  A F, all data is duly documented ; will be presented to relevant intl bodies. Perpetrators of such criminal actions shld be punished by all means of intl criminal law ","aze",-2
