"","created_at","screen_name","text"
"42",2020-10-28,"AzerbaijanMFA","""Civilians, including children and women of the cities situated far away from the conflict zone, have been repeatedly #attacked by the armed forces of #Armenia after the Washington meeting and on the eve of intended Geneva talks.""

Read more https://t.co/NCuhDiJnUQ https://t.co/7bL5l4x8JP"
"43",2020-10-28,"AzerbaijanMFA","May Allah rest in peace souls of those who died as a result of Armenia’s armed forces’ missile attack on Barda, I offer condolences to families and wish recovery to injured. Residents of Barda will be avenged and the occupiers will have a befitting retaliation on battlefield."
"44",2020-10-28,"AzerbaijanMFA","The deliberate killing of a peaceful population in the city of #Barda by the armed forces of #Armenia constitutes an act of #genocide, a #warcrime, and a crime against humanity.

Statement of the Ministry of Foreign Affairs of the Republic of Azerbaijan https://t.co/ifQmPBPuXd"
"45",2020-10-28,"AzerbaijanMFA","Act of genocide by Armenia against Barda city of Azerbaijan: number of deaths reaching to 20.Number of wounded more than 40. All are innocent civilians. Cluster Smerch missiles have been used. We invite @hrw and @amnesty to conduct on site assessment of such crimes of #Armenia"
"46",2020-10-28,"AzerbaijanMFA","URGENT! Armenian armed forces, grossly violating the humanitarian ceasefire regime, again have fired at the #Barda city from the ""Smerch"" MLRS.

As of now at least 13 civilians killed and many injured! This is crime against humanity!

#StopArmenianTerrorism https://t.co/viYRtWvE57"
"47",2020-10-28,"AzerbaijanMFA","Update: Armenia used again Smerch missiles against Barda. Casualties among civilians are reported. Such delibarate WarCrimes of Armenia are deplorable."
"48",2020-10-28,"AzerbaijanMFA","Now: following missile attacks to Tartar armed forces of Armenia firing rockets to Barda. No lessons learned from yesterday's killing of civilians with cluster weapons. Armenia must end it's military occupation and #WarCrimes"
"49",2020-10-28,"AzerbaijanMFA","Minister of Foreign Affairs @Bayramov_Jeyhun received the Deputy Foreign Minister of the Islamic Republic of #Iran and Special Envoy of the President of the Islamic Republic of Iran Seyyed Abbas Aragchi.
⬇️⬇️⬇️
https://t.co/K2POIHsvho https://t.co/T1Sae8d9vQ"
"50",2020-10-28,"AzerbaijanMFA","#Armenia’s missiles continue to kill #children 

#StopPashinyan #StopKillingChildren https://t.co/0Tv4QGwCLE"
"51",2020-10-27,"AzerbaijanMFA","The next bloody crime committed by #Armenia on the eve of the meeting of the FMs of the two countries with the @OSCE Minsk Group Co-Chairs in Geneva is a clear demonstration that aggressor state is not interested in a political solution to the conflict.

https://t.co/16FIKNY9m5"
"52",2020-10-27,"AzerbaijanMFA","One little toddler is among the killed as a result of Armenia's missile attack to Barda region of Azerbaijan. #babykilling policy and #warcrimes of Armenia's political-military leadershipship continues. Erupted fire is being extinguished by emergency services."
"53",2020-10-27,"AzerbaijanMFA","Urgent! Missile attack on #Barda region by #Armenia's occupation forces killed 3 civilians &amp; seriously injured 10 people, including women and kids. Another brutal violation of international humanitarian law &amp; #warcrime by Armenia!

#StopArmenianAggression
#StopAttackingCivilians"
"54",2020-10-27,"AzerbaijanMFA","We’re deeply saddened by news of terror attack on madrasa in #Peshavar🇵🇰 killing &amp; injuring innocent people, including kids. We present condolences to the families of victims &amp; wish speedy recovery to all injured. 🇦🇿 strongly condemns all forms &amp; manifestations of terrorism."
"55",2020-10-27,"AzerbaijanMFA","#Attacks against #journalists are prohibited by international #humanitarianlaw. #Armenia in a gross violation of its commitments under international law attacks journalists!
The video below by @euronews once again shows the true face of Armenia, targeting civilians &amp; journalists. https://t.co/q1A9SsbHYJ"
"56",2020-10-27,"AzerbaijanMFA","We firmly condemn the #violation of the #rights of #children by #Armenia in blatant ignorance of international conventions and call the related international organizations to thoroughly investigate these illegal practices and take necessary measures.

https://t.co/RwY9G4ggvP"
"57",2020-10-26,"AzerbaijanMFA","Continuing to violate the new humanitarian ceasefire, the Armenian armed forces again fired at the territory of Aghjabadi region.

#StopArmenianTerror"
"58",2020-10-26,"AzerbaijanMFA","The information spread by the Armenian side about the use of military aircraft by Azerbaijan is false and another misinformation.
We state that Azerbaijan adheres to the agreement on a new humanitarian ceasefire."
"59",2020-10-26,"AzerbaijanMFA","Urgent! Despite being far from the conflict zone, #Tovuz, #Dashkasan and #Gadabay regions of #Azerbaijan are under attack from #Armenia's territory. Another violation of humanitarian ceasefire by Armenia.

#StopArmenianAggression
#StopArmenianOccupation
#KarabakhIsAzerbaijan"
"60",2020-10-26,"AzerbaijanMFA","Another, third time in a row #ceasefire regime is blatantly ignored and #violated by #Armenia.

Press release of the Press service Department of the Ministry of Foreign Affairs of the Republic of Azerbaijan https://t.co/NSaMEcb45l"
"61",2020-10-26,"AzerbaijanMFA","Gross violation of the humanitarian ceasefire agreement by #Armenia. Tartar city and nearby villages are under artillery attack by Armenian armed forces starting from 8.05 am October 26, 2020.

#StopArmenianAggression
#StopArmenianOccupation
#KarabakhIsAzerbaijan"
"62",2020-10-26,"AzerbaijanMFA","Victorious Armed Forces of Azerbaijan have liberated several villages of Zengilan, Jabrayil and Gubadli districts and the city of Gubadli. Long live Azerbaijan’s Armed Forces! Karabakh is Azerbaijan!"
"63",2020-10-25,"AzerbaijanMFA","The OSCE Minsk Group’s co-chairs should remain impartial and not choose sides. The co-chairs must convince Armenia to stop the occupation, adhere to the ceasefire and commit to withdrawal from the territories."
"64",2020-10-25,"AzerbaijanMFA","The UN Charter ensures every country's right for self-defense. We are defending ourselves and liberating Azerbaijan’s internationally recognized territory from occupation."
"65",2020-10-25,"AzerbaijanMFA","Urgent! #Aghdam, #Tartar and #Aghjabadi districts of #Azerbaijan are being shelled by the armed forces of #Armenia.

#StopArmenianAggression
#StopKillingCivilians
#KarabakhisAzerbajian"
"66",2020-10-25,"AzerbaijanMFA","Had a fruitful discussions with #NSA Robert O’Brian @WHNSC. Informed on latest violations of ceasefire by Armenia, including deliberate shelling the civilians, residential areas. Stressed that Armenia’s aggression is a serious threat to regional security."
"67",2020-10-25,"AzerbaijanMFA","Met w/@SpeakerPelosi &amp;discussed latest escalation in the region. I informed on violation of intl humanitarian law by Armenia, including indiscriminate targeting of civilians. Withdrawal of forces from all occupied lands of #Azerbaijan is necessary for ensuring peace in the region"
"68",2020-10-24,"AzerbaijanMFA","Orkhan Ismayilzade (16), killed after after missile strikes by #Armenian's occupation forces hit his garden in Tartar.

#StopArmenianAggression 
#StopAttackingCivilians"
"69",2020-10-24,"AzerbaijanMFA","URGENT! #Goranboy and #Tartar regions are under MLRS (multiple launch rocket system) strikes of #Armenia's forces from the occupied Aghdere region.

#StopArmenianAggression
#StopAttackingCivilians"
"70",2020-10-23,"AzerbaijanMFA","Within his working visit to the #USA, the Minister of Foreign Affairs of the Republic of #Azerbaijan Jeyhun Bayramov had a meeting with the US Secretary of State Mike Pompeo.

@bayramov_jeyhun @SecPompeo @StateDept @USEmbassyBaku @azembassyus https://t.co/HwJI70bj0x"
"71",2020-10-23,"AzerbaijanMFA","Foreign Minister @bayramov_jeyhun met with @SecPompeo and informed him on the destructive policy of Armenia, including shelling the Azerbaijani towns &amp; civilians, deployment of mercenaries &amp; terrorists and etc. The sides also exchanged views on bilateral 🇦🇿🇺🇸 relations. https://t.co/2aID5MbZ9V"
"72",2020-10-23,"AzerbaijanMFA","Azerbaijan’s glorious Army liberated Dolanar and Bunyadli villages of Khojavend, Dag Tumas, Nusus, Xelefli, Minbashili and Veyselli villages of Jabrayil, Venedli and Mirzehasanli villages of Zengilan. Long live Azerbaijan’s Army! Karabakh is Azerbaijan!"
"73",2020-10-23,"AzerbaijanMFA","#Azerbaijan wishes to live together with #Armenia as neighbors in #peace &amp; #prosperity. All our troubles stem from Armenian invasion &amp; refusal to comply with the only possible condition for peace: to remove their troops from our lands.

@WashTimes Opinion
https://t.co/gDbNheTDwM"
"74",2020-10-22,"AzerbaijanMFA","The state border between Azerbaijan and the Islamic Republic of Iran has been completely secured through liberation of the Agbend settlement. I congratulate the peoples of Azerbaijan and Iran on this occasion. Long live Azerbaijan’s glorious Army!"
"75",2020-10-22,"AzerbaijanMFA","Azerbaijan’s glorious Army has liberated Mollaveli, Yuxari Refiddinli and Ashagi Refiddinli villages of Fuzuli district and Sirik, Shikhlar, Mestelibeyli and Derzili villages of Jabrayil district. Long live Azerbaijan’s Army! Karabakh is Azerbaijan!"
"76",2020-10-22,"AzerbaijanMFA","Armenia has, in fact, perpetrated an environmental terror against Azerbaijan. We need to revive those lands. Future agricultural development planning for the territories already liberated from occupation is underway."
"77",2020-10-22,"AzerbaijanMFA","Amb @georgedeek laid flowers in honour of memory of the civilian victims of the attacks in #Ganja
#Israel #azerbaijan https://t.co/8vJhd3gnZW"
"78",2020-10-22,"AzerbaijanMFA","Amb @georgedeek visited #Ganja today to provide humanitarian aid including medical supplies to the victims of bombing. 
#Israel #Azerbaijan https://t.co/npVd2a9jUv"
"79",2020-10-22,"AzerbaijanMFA","#OIC General Secretariat reminding the resolutions of @OIC_OCI &amp; #UNSC demanded #Armenia to stop its #aggression and withdraw its forces immediately &amp;unconditionally from the occupied territories of #Azerbaijan!
❗️The statement of OIC General Secretariat⬇️
https://t.co/oCUgjayyKW"
"80",2020-10-22,"AzerbaijanMFA","Press release on the continued attacks of Armenia on the residential areas of Azerbaijan situated far from the conflict zone ⬇️⬇️⬇️
https://t.co/CbkAs4w5xx"
"81",2020-10-22,"AzerbaijanMFA","Armenia must quit its attempt to mislead the international community by giving erroneous statements.

Press release of the Press Service Department of the MFA of Azerbaijan https://t.co/WWEwuAQKzC"
"82",2020-10-22,"AzerbaijanMFA","Tactical UAV belonging to #Armenia destroyed in the direction of Sharur and Sadarak regions of #Nakhchivan Autonomous Republic 🇦🇿.

#StopArmenianAggression 
#StopArmenianOccupation"
"83",2020-10-22,"AzerbaijanMFA","SCUD missiles launched by #Armenia targeting major water pipeline in Gabala intercepted by air defense systems. Civilian, Murad Amirbeyov (17), injured. Significant damages to 5 residential properties.

#StopArmenianAggression 
#StopAttackingCivilians 
#KarabakhIsAzerbaijan"
"84",2020-10-22,"AzerbaijanMFA","Azerbaijan's gorgeous touristic center Gabala which is far away from theatre of military operations become target of Armenia's missile strike. Missiles launched from Gafan and Jermuk regions of Armenia. Most likely Saddam Hussein used Scuds. Insanity of Armenia has no limits. https://t.co/TWLXjzMAjR"
"85",2020-10-22,"AzerbaijanMFA","Press-release of the Press Service Department of the Ministry of Foreign Affairs of the Republic of Azerbaijan on the statement of the Prime Minister of Armenia on the absence of a diplomatic solution to the conflict.
⬇️⬇️⬇️
https://t.co/d7pdJiGQBf"
"86",2020-10-22,"AzerbaijanMFA","Armenia from its territory launched Operative-Tactical missiles to Gabala, Kurdamir and Siyazan cities of Azerbaijan. Innocent civilians and civilian objects were target of Armenia's indiscriminate missile attack. #Armenia continues its #WarCrimes against civilians."
"87",2020-10-22,"AzerbaijanMFA","URGENT
Gross violation of the humanitarian ceasefire by #Armenia continues. The Armenia's armed forces stationed in the occupied territories of #Azerbaijan fire at our positions in the #Fuzuli region using rocket artillery.

#StopArmenianAggression 
#KarabakhIsAzerbaijan"
"88",2020-10-21,"AzerbaijanMFA","Secretary General of the @TurkicCouncil visited #Azerbaijan’s #Ganja city today and witnessed the damaged areas as the result of #Armenia’s missile attacks. https://t.co/oivWJTO9DC"
"89",2020-10-21,"AzerbaijanMFA","Morning shelling of civilian settlements in #Tartar city and nearby villages. There hasn't been a day without #Armenia's artillery attack on the Tartar region since September 27.

#StopArmenianAggression 
#StopAttackingCivilians 
#KarabakhIsAzerbaijan"
"90",2020-10-20,"AzerbaijanMFA","Commemoration of civilian victims of #GanjaCity as a result of missile attacks by #Armenia Armed Forces on 11.10.2020 and 17.10.2020.
We share the grief of families of victims. May they rest in Peace. 
#StopArmenianTerrorism
#PrayForGanja
#GanjaStrong https://t.co/0y8AFvTBz0"
"91",2020-10-20,"AzerbaijanMFA","We thank everyone who visited flowers and candles stand in front of #Azerbaijan's embassy in #UK today, to honor the dearest memory of the innocent kids and other Azerbaijani civilians who lost their lives as a result of Armenia's Scud missile attack to Ganja city of #Azerbaijan https://t.co/VXlOBdaK4U"
"92",2020-10-20,"AzerbaijanMFA","URGENT! 3 civilian casualties in Tartar. Anar Isagli (26) and Anar Guliyev (36) killed, Murov Shabanov (48) injured as artillery strikes by #Armenia's forces hit their home. 

#StopArmenianAggression 
#StopAttackingCivilians 
#KarabakhIsAzerbaijan"
"93",2020-10-19,"AzerbaijanMFA","Had a phone conversation w/ President of International Turkic Academy Darkhan Kydyrali. Informed my interlocutor on violations of humanitarian ceasefire by the armed forces of #Armenia. Stressed the responsibilities that Armenian leadership bears for the #warcrimes in #Ganjacity. https://t.co/5hLHXZiBMs"
"94",2020-10-19,"AzerbaijanMFA","Informed French FM @JY_LeDrian on the violation of humanitarian ceasefire by the armed forces of #Armenia for the 2nd time after declaration of truce. Violation of humanitarian ceasefire shows once again the disinclination of Armenia to its commitments under international law. https://t.co/BjWoRvq6pH"
"95",2020-10-19,"AzerbaijanMFA","URGENT! Grossly violating the humanitarian ceasefire, from 12:00 pm the armed forces of #Armenia stationed in the occupied #Kalbajar region of 🇦🇿 fire at the positions of the #Azerbaijan Army in the #Goygol region using mortars and large-caliber weapons.

#StopArmenianAggression"
"96",2020-10-19,"AzerbaijanMFA","#Armenia's occupation forces violate humanitarian ceasefire in the Tovuz and Dashkasan region (both outside of the conflict zone) by attacking military positions of the #Azerbaijan army.

#StopArmenianAggression"
"97",2020-10-19,"AzerbaijanMFA","Night shelling of Aghdam, Goranboy, and Tartar followed in the morning by artillery strikes on Aghjabadi. #Armenia's occupational forces violate the humanitarian ceasefire by attacking civilians.

#StopArmenianAggression
#StopAttackingCivilians
#KarabakhIsAzerbaijan"
"98",2020-10-19,"AzerbaijanMFA","Armenia’s armed forces have blatantly violated the agreed humanitarian ceasefire regime and as of 00:02 hours, 18 October, used heavy artillery to fire on Azerbaijan’s residential areas and combat positions."
"99",2020-10-19,"AzerbaijanMFA","There are dead and wounded due to these heinous actions. Azerbaijan’s Army retaliated befittingly and liberated several settlements."
"100",2020-10-19,"AzerbaijanMFA","During the night, the Armenian armed forces had subjected the #Goranboy, #Terter, and #Aghdam regions to mortar and artillery fire.
Since this morning, #Aghjabedi region has been under fire.

#StopArmenianOccupation 
#StopArmenianTerror
#ArmenianTerrorism 
#KarabakhisAzerbaijan"
"101",2020-10-18,"AzerbaijanMFA","Had a telephone conversation with my #Estonia|n colleague @UrmasReinsalu. Informed on the latest situation in the region, including the violation of humanitarian ceasefire by #Armenia. Stressed that Armenian leadership bears responsibility for escalation in the region. https://t.co/GQx0Sm3dX1"
"102",2020-10-18,"AzerbaijanMFA","Informed Secretary General of @TurkicCouncil on the latest situation in the region &amp; #violation of humanitarian ceasefire by the armed forces of #Armenia for the second time after the formal declaration of the truce.

Read more: https://t.co/4FK0CSsw8o https://t.co/L95UzrsoKo"
"103",2020-10-18,"AzerbaijanMFA","Informed High Representative @JosepBorrellF that #Armenia’s armed forces attacked Azerbaijani positions in direction of #Jabrayil &amp; artillery shelled #Gadabay &amp; #Tovuz regions of #Azerbaijan despite the 2nd humanitarian truce agreed on Saturday.

Read more https://t.co/tIkQGtR3gr https://t.co/avAsw0I0uF"
"104",2020-10-18,"AzerbaijanMFA","Azerbaijan’s Armed Forces have raised Azerbaijan’s flag over the ancient Khudaferin Bridge. Long live the people of Azerbaijan! Karabakh is Azerbaijan!"
"105",2020-10-18,"AzerbaijanMFA","Cordial congratulations 🇦🇿 celebrating 29th anniversary of the proclamation of the National Independence Day. Confident that exemplary relations with our strategic partner will further deepen&amp;contribute to peace, stability&amp;prosperity in our region @AzerbaijanMFA @bayramov_jeyhun"
"106",2020-10-18,"AzerbaijanMFA","On October 18, at 12.30, another Su-25 attack aircraft of the Armenian AF, which was trying to launch air strikes on the positions of the #Azerbaijani Army in the direction of #Jabrayil, was destroyed by Azerbaijani Air Defense Units.

#LongLiveAzerbaijan
#LongLiveAzerbaijanArmy"
"107",2020-10-18,"AzerbaijanMFA","The Embassy of Israel congratulates the people of Azerbaijan on the occasion of the Independence Day, and wishes them health, peace and prosperity. https://t.co/Nm1fF2PgXZ"
"108",2020-10-18,"AzerbaijanMFA","Azerbaijan remains committed to the humanitarian ceasefire, however, Azerbaijan reserves its right to take counter measures to protect its civilians and positions.

Press-release of the Press Service Department of the MFA of the Republic of Azerbaijan https://t.co/he1MjYiQyi"
"109",2020-10-18,"AzerbaijanMFA","Happy 29th Anniversary, #Azerbaijan! This year we celebrate independence with the liberated regions. Let our glorious flag 🇦🇿 praise in all the lands of our independent and sovereign country.
Müstəqillik günün mübarək, #Azərbaycan! 🇦🇿🇦🇿🇦🇿 https://t.co/9KqKy449WA"
"110",2020-10-18,"AzerbaijanMFA","I extend warmest felicitations to  @presidentaz &amp; fraternal people of #Azerbaijan on their Independence Day. We pay tribute to Azeri forces valiantly defending their territorial integrity. 
🇵🇰 stands with 🇦🇿 in its quest to resolve Nagorno-Karabakh issue as per UNSC resolutions"
"111",2020-10-18,"AzerbaijanMFA","🕯 🕯🕯
#Ganja 17 October 2020 - We’ll never forget 
#GanjaCity #GanjaStong #Azerbaijan🇦🇿 https://t.co/2iHR15NXRl"
"112",2020-10-18,"AzerbaijanMFA","Azerbaijanis living in #London honored the victims of Ganja attack by putting flowers in front of the Embassy of #Azerbaijan in the #UK. Toys and teddies have been put as well in the memory of kids killed as a result of Armenia's STUD missile attack on Ganja city. https://t.co/ydPlb3vS2y"
"113",2020-10-18,"AzerbaijanMFA","It is regrettable that leadership of #Armenia is resorting to irresponsible propaganda to cover up its illegal actions against #Azerbaijan . 1/2
@AzerbaijanMFA @Ali_F_Alizada https://t.co/TzSHLQGx72"
"114",2020-10-18,"AzerbaijanMFA","#Pakistan has consistently extended diplomatic, moral &amp; political support to #Azerbaijan. 

🇵🇰 will continue to stand by the brotherly nation of #Azerbaijan &amp; support its right of self-defence against any aggression. 2/2
@AzerbaijanMFA @Ali_F_Alizada"
