"","created_at","screen_name","text"
"21",2020-11-04,"MFAofArmenia",".@ZMnatsakanyan:“#Multilateralism is in crisis. Its future depends on unity of each State, &amp; that is the aim of #CoE. We all have our share of responsibility to this &amp; and we must act soon. Opposite is crisis, moral crisis &amp; crisis of values for Council of #Europe.” #ECHR70 https://t.co/BHWM4etwW1"
"22",2020-11-04,"MFAofArmenia",".@ZMnatsakanyan urges to take bold steps &amp; be worthy of legacy of #peace &amp; prosperity. Inability to express position on this war or acknowledge sanitary needs of ppl living in conflict zone testifies to its crisis. Committee must take actions, or is doomed to be obsolete. #ECHR70 https://t.co/2JsyDsrx1f"
"23",2020-11-04,"MFAofArmenia","FM @ZMnatsakanyan:""Necessary measures must be taken to impose #Turkey to refrain from actions contributing to breaches of #ConventionRights of #Artsakh civilians indicated by @ECHR_CEDH.Turkey’s destabilizing role in its neighborhood &amp; #SouthCaucasus must be addressed."" #ECHR70 https://t.co/bvlI08c2A7"
"24",2020-11-04,"MFAofArmenia","FM @ZMnatsakanyan at Committee of Ministers of @coe: ""#Azerbaijan undertook a commitment to resolve the #NagornoKarabakh conflict by peaceful means while acceding to #CoE. AZ is now in breach of this commitment. The organization must address this violation.""  #ECHR70 https://t.co/VV5kNgbQ6f"
"25",2020-11-04,"MFAofArmenia",".@ZMnatsakanyan at meeting w/delegation of #European Youth for the Recognition of #Artsakh’s Independence program initiated by @agbueurope, FM Mnatsakanyan emphasized: “This is a war for #freedom. We must compensate the blood of our compatriots with freedom”. https://t.co/X9Ldf7eDbS"
"26",2020-11-04,"MFAofArmenia",".@Artak_Beglaryan: In the Togh village of #Hadrut region of #Artsakh/#NagornoKarabakh, the #Azerbaijan'i armed forces beheaded a civilian, who has already been identified. A #terrorist act by a country which has already turned itself into hub of intl #terrorism in #SouthCaucasus"
"27",2020-11-03,"MFAofArmenia","We emphasize that amid the existential threats the people of #Artsakh are facing, the authorities and the Defense Army of #Artsakh have the inalienable right to defend their own people and to counterattack the enemy. https://t.co/FMObxjO2EQ"
"28",2020-11-03,"MFAofArmenia","This is another manifestation of state #terrorism carried out by a country which through the efforts of #Turkey has already turned itself into a hub of concentration of international #terrorist fighters in the #SouthCaucasus."
"29",2020-11-03,"MFAofArmenia","Continuous targeting of #Stepanakert’s medical facilities by Azerbaijani armed forces once again demonstrates goal of #Azerbaijan’s military-political leadership to inflict maximum damage on civilian population of #Artsakh, especially women &amp; children far away from the frontline. https://t.co/fXxNYbJHba"
"30",2020-11-03,"MFAofArmenia","Azeri forces fired a missile in direction of Stepanakert’s mother and child health care center, three more missiles in direction of Shushi: there are houses on fire."
"31",2020-11-03,"MFAofArmenia","Our prayers are with the people of Austria. #NagornoKarabakh has been fighting against the Azerbaijani-Turkish terrorist tandem for over a month now. I share the grief of the people of Austria, wish patience to the families of the victims, and a speedy recovery to those wounded."
"32",2020-11-03,"MFAofArmenia","Barbarity and #terrorism smearing around. Now in #Vienna. Very angry about this heinous attack. In full solidarity with #Austria’n friends. Armenians in #NagornoKarabakh are fighting those terrorists sponsored by #Turkey and their client #Azerbaijan

@MFA_Austria"
"33",2020-11-02,"MFAofArmenia","It is not accidental that such threats are voiced out against the people of #Armenia when the #Turkish-#Azerbaijani genocidal alliance w/involvement of intl #terrorist fighters tries to annihilate the Armenians in #Artsakh.
https://t.co/bBFRN19HE9"
"34",2020-11-02,"MFAofArmenia","Spox @naghdalyan: We strongly condemn act of #vandalism agnst building of #Consulate General of #Armenia in #Lyon, which was preceded by incidents of #desecration of Armenian monuments in other cities of #France &amp; massive anti-Armenian actions by #Turkish extremist organizations. https://t.co/Js2whzqGd4"
"35",2020-11-02,"MFAofArmenia","For the third day forest of #Nngi community is being constantly arsoned w/white #phosphorus munitions by #Azerbaijan'i side, which keeps Nngi &amp; surrounding areas under constant fire. 

 ©️ Head of the Nngi community of the #Martuni region
https://t.co/fRRWJg77rE"
"36",2020-11-02,"MFAofArmenia","Today, at around 6:10 pm, the Azerbaijani side opened artillery fire in the direction of the positions of the Armed Forces  of Armenia and the settlement of Davit Bek, as a result of which one civilian was killed and two others were wounded."
"37",2020-11-01,"MFAofArmenia","On use by #Azerbaijan of phosphorus munitions: Azerbaijan resorts to terror tactics agnst #Artsakh civ population. Recognition #Artsakh is #mature measure of int community to fulfil its obligations to prevent crimes against humanity. #RecognizeArtsakh https://t.co/b3mfSJnTit https://t.co/vIh9DJAU0i"
"38",2020-11-01,"MFAofArmenia","Transfer of #jihadists to #NagornoKarabakh conflict zone reveals intentions of #Turkish-#Azerbaijani leadership to give conflict inter-religious character. #Armenia will continue to undertake consistent steps in fight against intl terrorism, cooperating w/all interested partners."
"39",2020-11-01,"MFAofArmenia","This is a completely new manifestation of expansion of #terrorism, when foreign terrorist fighters &amp; jihadists from #MiddleEast have been deployed to conflict zone in #OSCE area; is a serious threat to the international &amp; regional security &amp; stability."
"40",2020-11-01,"MFAofArmenia","The above-mentioned fact is not merely confirmed by intelligence services of @OSCE #Minsk Group Co-Chair countries, a number of our partners &amp; international community, but also by the direct testimonies of the #terrorists.
https://t.co/VPGzBplU6i"
"41",2020-11-01,"MFAofArmenia","#Armenian side has repeatedly voiced out about recruitment of foreign terrorist fighters &amp; jihadists by #Turkey from various ""hot spots"" in #MiddleEast,&amp; their subsequent transfer &amp; deployment to region w/purpose of committing atrocities against #Artsakh people. https://t.co/6GCWQhK75l"
"42",2020-11-01,"MFAofArmenia","#Armenia can always recognize the independence of #Artsakh. It’s important that other members of int’l community recognized it. Today this issue is more urgent considering the humanitarian catastrophe in which #NagornoKarabakh finds itself now. @AJArabic https://t.co/4esGl75FMS"
"43",2020-11-01,"MFAofArmenia","As a result of deliberate shelling of the civilian infrastructure of #Artsakh/#NagornoKarabakh by armed forces of #Azerbaijan, Gohar Agha Upper #Mosque, Yeznik Mozyan Vocational School, #Shushi Technological #University were targeted. https://t.co/xp4r3uydb2"
"44",2020-11-01,"MFAofArmenia","#Azerbaijan deliberately targeted a fire engine, transporting drinking water from the town of #Askeran to civilians in neighboring communities. No casualties reported. 
Once again Aze intentionally targets people with humanitarian functions. 
#StopAzerbaijaniAgression https://t.co/FLqDcmTaiy"
"45",2020-11-01,"MFAofArmenia","DA units of @Artsakh_MOD captured another terrorist mercenary Yusuf Alaabet al Haji from #Idlib #Syria, fighting on Azerbaijan's side against Artsakh. He stated that he was promised 2k$ monthly &amp; an additional 100$ ""reward"" for the head of each #Armenia’n. https://t.co/mK4HRoc0Y7"
"46",2020-11-01,"MFAofArmenia","FM @ZMnatsakanyan to @SputnikInt:“There's overwhelming factual evidence on presence &amp; ongoing transfer of foreign #terrorist fighters by #Turkey from #Syria &amp; #Libya, confirmed by intelligence of @OSCE MGCC states &amp; by coverage from conflict zone itself.”
https://t.co/PmD3j31DyP"
"47",2020-10-31,"MFAofArmenia","As a result of #Azerbaijan'i attacks on the civilian communities: 
-residential areas of #Stepanakert were struck causing huge material damage
-59YO Apres Adamyan was killed in his house in Herher
village of Martuni region
-#Martuni, #Martakert &amp; #Shushi towns were also struck. https://t.co/0a3Z642Zff"
"48",2020-10-31,"MFAofArmenia","Despite agreement reached not to target civilians &amp; civilian infrastructure, since early morning #Azerbaijan resumed bombing of #Shushi &amp; #Stepanakert. Azerbaijan leadership is not capable to fulfill its own commitments and #Artsakh civilian population is its main enemy &amp; target. https://t.co/ugC2gL2wmE"
"49",2020-10-31,"MFAofArmenia","Together with @OmbudsArmenia @atatoyan  we  sent a joint invitation to the diplomatic representations and intl organizations accredited in #Armenia to visit #Artsakh/#Karabakh and record the atrocities of #Azerbaijan against Artsakh people. https://t.co/vkLXAy1ufB"
"50",2020-10-31,"MFAofArmenia","PM @NikolPashinyan addressed President of #Russia to launch immediate consultations to define type &amp; scale of assistance RF can provide to #Armenia for ensuring its security, based on Arm-Rus allied rels &amp; Article 2 of Treaty on Friendship, Coop &amp; Mutual Assistance of Aug 29,1997"
"51",2020-10-31,"MFAofArmenia","In meeting w/#Uruguay FM Francisco Bustillo Bonasso, FM @ZMnatsakanyan presented hostilities carried out by #Azerbaijan'i armed forces against #Artsakh people. Both sides stressed the need for the immediate cessation of hostilities and a peaceful settlement of the conflict. https://t.co/WW5sxe2677"
"52",2020-10-31,"MFAofArmenia","In meeting w/#Iran DFM Araghchi, FM @ZMnatsakanyan stressed that #Armenia understands Iran’s sensitivity towards reg threats &amp; highlighted Iran’s role in maintaining stability in reg. DFM presented approaches of his country on overcoming situation &amp; establishing ceasefire regime. https://t.co/9gzZ37XkLD"
"53",2020-10-31,"MFAofArmenia","In meeting w/@OSCE MGCC, FM @ZMnatsakanyan stressed immediate implementation of agreements on cessation of hostilities &amp; establishment of sustainable ceasefire. Emphasized role of verification mechanisms &amp; unacceptability of deliberate targeting of #Artsakh civilian population. https://t.co/TLLyOFfd1C"
"54",2020-10-31,"MFAofArmenia","As continuation of its #warcrimes against the people of #Artsakh/#NagornoKarabakh, #Azerbaijan'i armed forces now uses #Phosophorus munitions over the forests which are next to civilian infrastructures. This weapons are prohibited by intl law. https://t.co/5WHBak2IYM"
"55",2020-10-31,"MFAofArmenia","Another blatant evidence of the involvement of foreign #terrorist fighters in the #NagornoKarabakh conflict zone, recruited and transferred from the #MiddleEast to #Azerbaijan by #Turkey. https://t.co/RoZsreQoFe"
"56",2020-10-30,"MFAofArmenia","In meeting w/@PMaurerICRC, FM @ZMnatsakanyan presented situation in #NagornoKarabakh conflict zone resulting from #Azerbaijan’i aggression. @ICRC President emphasized diplomatic efforts aimed at implementing #ceasefire agreements &amp; agreement on exchange of bodies of those killed. https://t.co/B2kHBIFwyq"
"57",2020-10-30,"MFAofArmenia","#Breaking!
As a result of #Azerbaijan shelling, in Aknaghbyur village of #Artsakh/#Karabakh, 60YO Sergey Balayan was killed &amp; 6 other civilians have been wounded.
Azerbaijan continues deliberately/indiscriminately targeting civilian areas &amp; population.
#WarCrime #DontBeBlind"
"58",2020-10-30,"MFAofArmenia","Meeting of Foreign Ministers of #Armenia and #Azerbaijan @ZMnatsakanyan and @bayramov_jeyhun commenced in #Geneva with mediation and participation of @OSCE Minsk Group Co-Chairs https://t.co/eG1H55Uo9r"
"59",2020-10-30,"MFAofArmenia","Meeting of Foreign Minister of #Armenia Zohrab Mnatsakanyan (@ZMnatsakanyan) with the OSCE Minsk Group Co-Chairs commenced in #Geneva https://t.co/VBU6pjwSbx"
"60",2020-10-29,"MFAofArmenia","On October 29 with the exceptional mediation of Russia, &amp; with the participation of the field team of the PR of the OSCE CiO &amp; the ICRC the bodies of 29 Armenian KIA servicemen were handed over to the Armenian side. 
With the ICRC efforts 1 civilian’s was repatriated to Armenia."
"61",2020-10-29,"MFAofArmenia","The Armenian side, adhering to the arrangements of the HUM ceasefire, reiterates its readiness to hand over the bodies of Az servicemen, start the process of recovery of bodies along the Artshakh-Azerbaijan frontline, exchange of info on POWs and respective handover in future."
"62",2020-10-29,"MFAofArmenia","Azerbaijani forces employed military aviation against Martakert town. Air raid warning went off in Stepanakert, Askeran, Martuni and Martakert."
"63",2020-10-29,"MFAofArmenia","In phone call w/High Rep @JosepBorrellF, FM @ZMnatsakanyan provided detailed info on #Azerbaijan's violation of third agreement on cessation of hostilities, stressed that #Turkey's destabilizing actions in #SouthCaucasus pose threat to both regional &amp; intl security. https://t.co/0Sv9JHy5Uz"
"64",2020-10-29,"MFAofArmenia","In phone call w/@JY_LeDrian, FM @ZMnatsakanyan informed that #Azerbaijan continues shelling of civilian population of #Artsakh &amp; stated that w/such position AZ is pursuing to nullify efforts of Co-Chairs in establishing sustainable ceasefire, which is encouraged by #Turkey. https://t.co/ofAIwWufGb"
"65",2020-10-29,"MFAofArmenia","In phone call w/FM @morton_wendy, FM @ZMnatsakanyan stressed that #Azerbaijan, once again demonstrating its treacherous stance, has renounced its commitments &amp; continues to deliberately target civilian population &amp; infrastructure of #Artsakh, including by using prohibited weapons https://t.co/bQDZdCvag3"
"66",2020-10-29,"MFAofArmenia","Azerbaijan's policy of crimes against humanity &amp; ethnic cleansing is doomed to failure &amp; will encounter the resolute resistance of the people of #Artsakh, which will be carried out through all the means necessary for self-defense. https://t.co/lIVazrlG3O"
"67",2020-10-29,"MFAofArmenia","Despite calls of intl community &amp; efforts of @OSCE MGCC, #Azerbaijan persistently rejects implementation of ceasefire agreements &amp; introduction of verification mechanisms to maintain #ceasefire in conflict zone.
https://t.co/UIa9qkbWvY"
"68",2020-10-28,"MFAofArmenia","We strongly condemn efforts of #Turkey &amp; #Azerbaijan-terrorist supporting countries, to turn their countries into hub of intl #terrorism &amp; to spread that plague throughout reg. In order to confront this threat, close coop among all parties interested in reg security is required. https://t.co/SST2cW9RYj"
"69",2020-10-28,"MFAofArmenia","Spox @naghdalyan: ""#Armenia stands for immediate withdrawal of intl terrorist organizations from #SouthCaucasus &amp; resolutely rejects #Turkey’s actions aimed at further destabilization of region.

Armenia &amp; #Artsakh, unlike our two neighbours, do not host, but fight terrorists."" https://t.co/rE9op68Wzz"
"70",2020-10-28,"MFAofArmenia","#Warcrime, which is gross violation of intl humanitarian law &amp; customary law, clearly demonstrates that people of Artsakh are Azerbaijan’s target, including newborn babies, mothers, &amp; elders. Attempts of #Azerbaijan to kill the life in #Artsakh will fail. https://t.co/BzPHRIEvS2 https://t.co/5ZVBeXHbxQ"
"71",2020-10-28,"MFAofArmenia","Armed forces of #Azerbaijan throughout day bombed &amp; shelled capital of Republic of #Artsakh-#Stepanakert, &amp;  second largest city-#Shushi. Residential areas of city, civilian infrastructure, including maternity hospital of Stepanakert were attacked. https://t.co/LdvY2CGaJR"
"72",2020-10-28,"MFAofArmenia","Oct 28, the #Azerbaijan'i armed forces struck more than 15 times on different parts of the capital Stepanakert and Shushi town, deliberately targeting even the Maternal and Child Health Center in Stepanakert &amp; some residential and public objects.
#StopAzerbaijaniAggression https://t.co/tpgnrw0Mlw"
"73",2020-10-28,"MFAofArmenia","Heavy strikes of #Azerbaijani military towards Medical Center, the Main Hospital of Stepanakert, this the center of capital city of #Artsakh (Nagorno #Karabakh). 

#terrorism #WarCrime #DontBeBlind #dontcloseyoureyes https://t.co/bQNA4NBb8S"
"74",2020-10-28,"MFAofArmenia","#Artsakh/#NagornoKarabakh city of #Shushi &amp; capital #Stepanakert have been attacked w/forbidden cluster warhead SMERCH missiles by #Azerbaijan: 1 civilian killed &amp; 2 wounded, mass destructions caused. To cover up its #WarCrimes AZE falsely accuses Armenian sides of alleged attack"
"75",2020-10-28,"MFAofArmenia","Motion in the @SenateCA by @SenatorHousakos  calling on the Government of #Canada to condemn the joint Azerbaijani - Turkish aggression and recognize the independence of the Republic of #Artsakh! https://t.co/nh0Hj6Kz2G"
"76",2020-10-28,"MFAofArmenia","Shushi is being shelled from Smerch MLRS.

Artsakh Emergency Situations State Service reports about one killed and two wounded civilians.  Also capital Stepanakert was shelled once from Smerch. No wounded reported."
"77",2020-10-27,"MFAofArmenia","It has been month since #Azerbaijan unleashed a large-scale war against #Artsakh people. Throughout this period AZ falsely accused #Armenian sides of violating ceasefire to avoid responsibility for failing to comply w/ceasefire agreements reached through mediation of @OSCE MGCC. https://t.co/NBVCigp2tj"
"78",2020-10-27,"MFAofArmenia","This is yet another cheap provocation by the Azerbaijani side which attests to the fact that there is no alternative to the introduction of the international verification mechanisms. Notably, #Azerbaijan persistently rejects the introduction of such mechanisms. https://t.co/4f6DOQLb7d"
"79",2020-10-27,"MFAofArmenia","Azerbaijani side shelled w/ cluster munitions #Nngi village of #Martuni region in #Artsakh, where many civilians, temporarily displaced from number of other communities, took refuge. Attack resulted in destruction 7 casualties among civilian population.
https://t.co/Ukey4GtkK4"
"80",2020-10-26,"MFAofArmenia","Violating the ceasefire, #Azerbaijan is striking the civilian settlements of #Artsakh. As a result of a missile strike on the Avetaranots village of Askeran region a civilian, Gevorg Hambardzumyan, was killed; two civilians, Henrikh Adamyan and Andrey Hambardzumyan, were wounded."
"81",2020-10-26,"MFAofArmenia","In this regard, Ministry of Defense of #Armenia emphasizes importance of immediate introduction of clear parameters for maintaining #ceasefire regime &amp; launching process of exchanging bodies of POW &amp; other people detained, &amp; those killed, mediated by @ICRC. https://t.co/eMaV4xLgiR"
"82",2020-10-26,"MFAofArmenia","Statements of #Azerbaijan'i side claiming that #Armenia'n side allegedly violated humanitarian #ceasefire do not correspond to reality &amp; are obviously provocative. https://t.co/Vz9byMssrR"
"83",2020-10-26,"MFAofArmenia","The Armenian side continues to strictly  adhere to the ceasefire regime."
"84",2020-10-25,"MFAofArmenia","#OSCE MGCC, #Armenia &amp; #Azerbaijan FMs discussed implementing immediate humanitarian ceasefire, possible parameters for monitoring ceasefire&amp;initiating discussion of core substantive elements of comprehensive solution, in accordance w/Oct10 Joint Statement https://t.co/ei6pm1w1KQ"
"85",2020-10-25,"MFAofArmenia","Humanitarian ceasefire will take effect at 08:00 a.m. local time on Oct26, 2020.  #UnitedStates facilitated intensive negotiations among the Foreign Ministers and the Minsk Group Co-Chairs to move Armenia and Azerbaijan closer to a peaceful resolution of #NagornoKarabakh conflict https://t.co/gAYIzU02L1"
"86",2020-10-25,"MFAofArmenia","#Armenia FM @ZMnatsakanyan and #Azerbaijan FM @bayramov_jeyhun met w/DSS Stephen E. Biegun on Oct24 and reaffirmed their countries’ commitment to implement and abide by humanitarian ceasefire agreed in Moscow on Oct10, which were reaffirmed in statement issued from Paris on Oct17"
"87",2020-10-25,"MFAofArmenia","At a meeting with French MPs, I expressed my full appreciation for their visit to our country and for standing beside the #Armenian people in such a difficult time for the whole country. https://t.co/hgfVYixFVm"
"88",2020-10-25,"MFAofArmenia","In meeting w/members of Congressional Caucus on #Armenian Issues, FM @ZMnatsakanyan stressed that #Azerbaijani aggression is threat to existential physical sec of #Artsakh population, &amp; makes it imperative for intl community to undertake resolute &amp; immediate steps against it. https://t.co/adly7V6fLy"
"89",2020-10-25,"MFAofArmenia","During meeting w/reps of @ARAMAC_DC &amp; @ANCA_DC, FM of #Armenia @ZMnatsakanyan briefed on situation in #NagornoKarabakh conflict zone resulting from aggression instigated by #Azerbaijan against #Artsakh, w/direct support of #Turkey &amp; involvement of foreign terrorist fighters. https://t.co/VKycnYM0bs"
"90",2020-10-24,"MFAofArmenia","It is impossible to break the spirit of #Artsakh/#NagornoKarabakh. Take the message from these kids. They radiate so much confidence, so much life, so much optimism, freedom and dignity. I am so grateful to them, love them!
#ArtsakhStrong https://t.co/fNeWdGzsCm"
"91",2020-10-24,"MFAofArmenia","FM @ZMnatsakanyan met w/@OSCE MGCC. Reiterated implementation of agreements on cessation of hostilities &amp; establishment of sustainable #ceasefire maintained by verification mechanisms, highlighted need for continuation of peace process w/in #OSCE #Minsk Group Co-Chairmanship. https://t.co/ebRQmXC2RL"
"92",2020-10-24,"MFAofArmenia","FM of #Armenia @ZMnatsakanyan at @ACEurasia:""The center of issue is physical, existential #security of our compatriots, &amp; we have made it very clear that we are dealing w/real existential threat to which we have exposed in past, &amp; we must not allow this happen again."" https://t.co/f6CgmSvUty"
"93",2020-10-24,"MFAofArmenia","In meeting w/@SpeakerPelosi of House of Reps, FM @ZMnatsakanyan stressed that #Azerbaijan’s aggression is existential threat to sec of #Artsakh peaceful population, which can be counteracted by intl community through full realization of right of Artsakh ppl to self-determination. https://t.co/N1iwt1SDO6"
"94",2020-10-24,"MFAofArmenia","In meeting w/National Sec Adviser @robertcobrien, FM @ZMnatsakanyan expressed concern over #Turkey's expansionist policy in #SouthCaucasus, aiming to destabilize reg, using #Azerbaijan as footing. Sides agreed that peaceful settlement of #NK conflict is possible w/in @OSCE MGCC. https://t.co/9Phi1ZVQdo"
"95",2020-10-23,"MFAofArmenia","#Armenia FM @ZMnatsakanyan joins @ACEurasia’s Director @JohnEdHerbst for a conversation regarding talks held in Washington D.C., Yerevan’s position on #NagornoKarabakh conflict, prospects for establishing ceasefire &amp; finding negotiated solution to NK issue https://t.co/v9ouB0vELQ"
"96",2020-10-23,"MFAofArmenia","#Armenia FM @ZMnatsakanyan @camanpour of @CNN:Our compatriots  in #NagornoKarabakh will live in freedom, dignity &amp; security. As we are talking I have received messages that cities of #Stepanakert, #Martuni and #Hadrut have once again been targets of severe shelling by #Azerbaijan https://t.co/g6zRoSxRtp"
"97",2020-10-23,"MFAofArmenia","In phone conversation w/#Swiss Federal Councillor @ignaziocassis, FM @ZMnatsakanyan highly appreciated principled statement of @SwissMFA &amp; expressed conviction that #Azerbaijan should bear appropriate intl responsibility for the criminal encroachments against people of #Artsakh. https://t.co/8PX1ZfVmVy"
"98",2020-10-23,"MFAofArmenia","#Azerbaijan continues to strike #Stepanakert, capital of #Artsakh/#NagornoKarabakh, residential buildings &amp; gas pipeline have been damaged. https://t.co/tyYcTC1jwZ"
"99",2020-10-23,"MFAofArmenia","Sides reiterated the need for immediate implementation of agreements on cessation of hostilities in #NagornoKarabakh conflict zone, as well as continuation of peace process w/in @OSCE Minsk Group Co-Chairs.

https://t.co/WNvndNDlnp https://t.co/qwCC52fAs0"
"100",2020-10-23,"MFAofArmenia","In meeting w/#US State @SecPompeo, FM of #Armenia @ZMnatsakanyan highlighted that #Azerbaijani aggression is accompanied by direct involvement of #Turkey, manifested in its military-technical support to Azerbaijan &amp; transferring of foreign terrorist fighters to region. https://t.co/bLB1LtTzuj"
"101",2020-10-23,"MFAofArmenia","Meeting of Foreign Minister of #Armenia @ZMnatsakanyan and #UnitedStates Secretary of State @SecPompeo.
https://t.co/WEzk2Lj3Qb"
"102",2020-10-23,"MFAofArmenia","In meeting w/#US Acting Assistant State Sec Phillip Reeker,FM @ZMnatsakanyan stressed that #Azerbaijan unleashed war against #Artsakh, accompanied by deliberate targeting of civilian population &amp; infrastructure,which are war crimes in their nature &amp; aim to annihilate Artsakh ppl. https://t.co/BR4E9S1rkJ"
"103",2020-10-23,"MFAofArmenia","MUST READ @HRW report:
“#Azerbaijan has repeatedly used widely banned cluster munitions in residential areas in Nagorno-#Karabakh,”
They didn’t find any military objects nearby, Az didn’t grant access to HRW to conduct investigations there.
#HumanRights
https://t.co/ARNu2ODWUc"
"104",2020-10-23,"MFAofArmenia","Working visit of Foreign Minister of #Armenia @ZMnatsakanyan to the United States of America commenced. Minister Mnatsakanyan is helding a meeting with #US Acting Assistant Secretary of European and Eurasian Affairs Philip #Reeker. https://t.co/h4cEkOUpx4"
